"","Ml","Ti","SC","Ya","Fi","Tr","Ch","Mn","To","Ha"
"Malekula",0,0.475,0.631,4.363,1.234,2.036,3.178,2.794,1.86,5.678
"Tikopia",0.475,0,0.315,4.173,1.236,2.007,2.877,2.67,1.965,5.283
"Santa Cruz",0.631,0.315,0,3.859,1.55,1.708,2.588,2.356,2.279,5.401
"Yap",4.363,4.173,3.859,0,5.391,2.462,1.555,1.616,6.136,7.178
"Lau Fiji",1.234,1.236,1.55,5.391,0,3.219,4.027,3.906,0.763,4.884
"Trobriand",2.036,2.007,1.708,2.462,3.219,0,1.801,0.85,3.893,6.653
"Chuuk",3.178,2.877,2.588,1.555,4.027,1.801,0,1.213,4.789,5.787
"Manus",2.794,2.67,2.356,1.616,3.906,0.85,1.213,0,4.622,6.722
"Tonga",1.86,1.965,2.279,6.136,0.763,3.893,4.789,4.622,0,5.037
"Hawaii",5.678,5.283,5.401,7.178,4.884,6.653,5.787,6.722,5.037,0
